,Left Hand Side,Right Hand Side
0,Acorn Squash,Brussels Sprouts
1,Flatiron Steak,Ahi Tuna
2,Angel Food Cake,Chocolate Tart
3,Angel Food Cake,Mushroom Tortellini
4,Angel Food Cake,etta Old Fashioned
5,Athena,Sunset On Damen
6,Avocado,Breakfast Sandwich
7,Avocado,Crispy Potatoes
8,Avocado,Huevos Rancheros
9,Banana Bread,Avocado Toast
10,Biscuits,Avocado Toast
11,Avocado Toast,Bloody
12,Avocado Toast,Breakfast Sandwich
13,Avocado Toast,Crispy Potatoes
14,Fire- Roasted Breakfast Sausage,Avocado Toast
15,French Toast,Avocado Toast
16,Avocado Toast,Huevos Rancheros
17,Kouign-Amann,Avocado Toast
18,Maple-Glazed Bacon,Avocado Toast
19,Avocado Toast,Mimosa
20,Mimosa Package,Avocado Toast
21,Orange Juice,Avocado Toast
22,Avocado Toast,Sparrow Regular Coffee
23,Spicy Fire Roasted Eggs,Avocado Toast
24,Avocado Toast,Sticky Bun
25,Banana Bread,Bloody
26,Banana Bread,Breakfast Sandwich
27,Banana Bread,Crispy Chicken Sandwich
28,Banana Bread,Crispy Potatoes
29,Banana Bread,Huevos Rancheros
30,Banana Bread,Sparrow Regular Coffee
31,Banana Bread,Sticky Bun
32,Beef Cheek Agnolotti,Brussels Sprouts
33,Beef Cheek Agnolotti,Green With Envy
34,Biscuits,Breakfast Sandwich
35,Biscuits,Crispy Potatoes
36,Biscuits,Etta Soft Scramble
37,Biscuits,Huevos Rancheros
38,Biscuits,Kouign-Amann
39,Biscuits,Sparrow Cold Brewed Coffee
40,Biscuits,Sparrow Regular Coffee
41,Biscuits,Sticky Bun
42,Breakfast Burrito,Bloody
43,Bloody,Breakfast Sandwich
44,Brunch Margherita Pizza,Bloody
45,Brunch Pepperoni Pizza,Bloody
46,Brunch Wild Mushroom,Bloody
47,Bloody,Crispy Chicken Sandwich
48,Bloody,Crispy Potatoes
49,Duck Hash,Bloody
50,Elysian Tarte Flambe,Bloody
51,Bloody,Etta Soft Scramble
52,Fire- Roasted Breakfast Sausage,Bloody
53,French Toast,Bloody
54,Bloody,Huevos Rancheros
55,Kouign-Amann,Bloody
56,La Colombe Cold Brewed Coffee,Bloody
57,Maple-Glazed Bacon,Bloody
58,Bloody,Mimosa
59,Paloma - Mezcal,Bloody
60,Paloma - Tequila,Bloody
61,Short Rib Hash,Bloody
62,Sparrow Cold Brewed Coffee,Bloody
63,Bloody,Sparrow Regular Coffee
64,Spicy Fire Roasted Eggs,Bloody
65,Bloody,Sticky Bun
66,Wood- Fired Frittata,Bloody
67,Bolognese,Chitarra Cacio e Pepe
68,Bolognese,Diavola Pizza
69,Bolognese,Dreaming In Provance
70,Bolognese,Wagyu Meatballs
71,Breakfast Burrito,Breakfast Sandwich
72,Challah French Toast,Breakfast Burrito
73,Breakfast Burrito,Crispy Chicken Sandwich
74,Breakfast Burrito,Crispy Potatoes
75,Breakfast Burrito,Huevos Rancheros
76,Breakfast Burrito,Maple-Glazed Bacon
77,Breakfast Burrito,Sparrow Regular Coffee
78,Breakfast Burrito,Sticky Bun
79,Challah French Toast,Breakfast Sandwich
80,Breakfast Sandwich,Crispy Chicken Sandwich
81,Crispy Potatoes,Breakfast Sandwich
82,Duck Hash,Breakfast Sandwich
83,Elysian Tarte Flambe,Breakfast Sandwich
84,Etta Soft Scramble,Breakfast Sandwich
85,Fire- Roasted Breakfast Sausage,Breakfast Sandwich
